electric_grid_name,line_name,line_type,node_1_name,node_2_name,is_phase_1_connected,is_phase_2_connected,is_phase_3_connected,length
singapore_geylang,257,singapore_line_type_1,3,180,1,0,0,0.8072295069872404
singapore_geylang,258,singapore_line_type_1,180,241,1,0,0,0.9329049197517855
singapore_geylang,259,singapore_line_type_1,241,211,1,0,0,0.12652254003545682
singapore_geylang,260,singapore_line_type_1,211,78,1,0,0,0.5159306127338437
singapore_geylang,261,singapore_line_type_1,78,93,1,0,0,0.3365152980675359
singapore_geylang,262,singapore_line_type_3,211,212,1,0,0,0.15926965649558397
singapore_geylang,263,singapore_line_type_3,212,214,1,0,0,0.2019982612170546
singapore_geylang,264,singapore_line_type_3,214,243,1,0,0,0.14088461104360464
singapore_geylang,265,singapore_line_type_3,243,242,1,0,0,0.10954788089129047
singapore_geylang,266,singapore_line_type_3,93,28,1,0,0,0.014116735604935812
singapore_geylang,267,singapore_line_type_3,242,244,1,0,0,0.10770135984094965
singapore_geylang,268,singapore_line_type_3,244,216,1,0,0,0.12725807744689097
singapore_geylang,269,singapore_line_type_3,216,215,1,0,0,0.1452149849745677
singapore_geylang,270,singapore_line_type_1,3,182,1,0,0,0.28274191594520004
singapore_geylang,271,singapore_line_type_1,182,277,1,0,0,0.286772626729501
singapore_geylang,272,singapore_line_type_1,277,109,1,0,0,0.24629077647033196
singapore_geylang,273,singapore_line_type_1,109,276,1,0,0,0.16390608360385847
singapore_geylang,274,singapore_line_type_1,276,275,1,0,0,0.23931704814218316
singapore_geylang,275,singapore_line_type_1,275,343,1,0,0,0.14815590816292007
singapore_geylang,276,singapore_line_type_3,343,352,1,0,0,0.08736503154607222
singapore_geylang,277,singapore_line_type_3,352,372,1,0,0,0.15487912998091605
singapore_geylang,278,singapore_line_type_3,372,350,1,0,0,0.08821912204275728
singapore_geylang,279,singapore_line_type_3,352,371,1,0,0,0.12079823746031179
singapore_geylang,280,singapore_line_type_3,350,351,1,0,0,0.11118750442507629
singapore_geylang,281,singapore_line_type_3,182,192,1,0,0,0.2389702938358637
singapore_geylang,282,singapore_line_type_1,3,191,1,0,0,0.36163569985907823
singapore_geylang,283,singapore_line_type_1,191,391,1,0,0,0.5676561143632398
singapore_geylang,284,singapore_line_type_1,391,7,1,0,0,0.10160043190098313
singapore_geylang,285,singapore_line_type_3,7,52,1,0,0,0.07637461627389303
singapore_geylang,286,singapore_line_type_3,52,268,1,0,0,0.06760684073062016
singapore_geylang,287,singapore_line_type_1,3,193,1,0,0,0.23860735343028255
singapore_geylang,288,singapore_line_type_1,193,51,1,0,0,0.48357078754632266
singapore_geylang,289,singapore_line_type_1,51,266,1,0,0,0.08988106182007471
singapore_geylang,290,singapore_line_type_1,266,9,1,0,0,0.06315518758859029
singapore_geylang,291,singapore_line_type_1,9,74,1,0,0,0.07711745206911853
singapore_geylang,292,singapore_line_type_3,74,269,1,0,0,0.04781715043192683
singapore_geylang,293,singapore_line_type_3,74,267,1,0,0,0.06071891789775163
singapore_geylang,294,singapore_line_type_3,3,195,1,0,0,0.3436522817752984
singapore_geylang,295,singapore_line_type_1,195,138,1,0,0,0.12642612586159324
singapore_geylang,296,singapore_line_type_1,138,183,1,0,0,0.14341974190472556
singapore_geylang,297,singapore_line_type_1,183,240,1,0,0,1.0281203424943623
singapore_geylang,298,singapore_line_type_1,240,79,1,0,0,0.408744095046344
singapore_geylang,299,singapore_line_type_1,79,116,1,0,0,0.4809577965556697
singapore_geylang,300,singapore_line_type_1,116,73,1,0,0,0.20443482111848177
singapore_geylang,301,singapore_line_type_3,73,114,1,0,0,0.14350019091294478
singapore_geylang,302,singapore_line_type_3,114,13,1,0,0,0.144253987919458
singapore_geylang,303,singapore_line_type_3,73,115,1,0,0,0.10146268395825005
singapore_geylang,304,singapore_line_type_3,115,278,1,0,0,0.10628821875068264
singapore_geylang,305,singapore_line_type_3,13,6,1,0,0,0.15870094852234087
singapore_geylang,306,singapore_line_type_3,278,26,1,0,0,0.30261591896210693
singapore_geylang,307,singapore_line_type_3,13,24,1,0,0,0.2678932925297025
singapore_geylang,308,singapore_line_type_3,26,27,1,0,0,0.19557401283980924
singapore_geylang,309,singapore_line_type_3,6,12,1,0,0,0.11951349105971946
singapore_geylang,310,singapore_line_type_3,27,34,1,0,0,0.18102098239546935
singapore_geylang,311,singapore_line_type_3,12,99,1,0,0,0.1616163943199221
singapore_geylang,312,singapore_line_type_1,3,196,1,0,0,0.31213958458666086
singapore_geylang,313,singapore_line_type_1,196,184,1,0,0,0.3030587760632187
singapore_geylang,314,singapore_line_type_1,184,142,1,0,0,0.15301758105706473
singapore_geylang,315,singapore_line_type_1,142,198,1,0,0,0.18430923739741412
singapore_geylang,316,singapore_line_type_1,198,81,1,0,0,0.15643564319574785
singapore_geylang,317,singapore_line_type_3,184,139,1,0,0,0.13052924595008403
singapore_geylang,318,singapore_line_type_3,139,174,1,0,0,0.08785343148413853
singapore_geylang,319,singapore_line_type_3,174,187,1,0,0,0.07991615518955618
singapore_geylang,320,singapore_line_type_3,187,188,1,0,0,0.12486926750694045
singapore_geylang,321,singapore_line_type_3,188,147,1,0,0,0.16590106143360792
singapore_geylang,322,singapore_line_type_3,81,284,1,0,0,0.06229231976619748
